Game ID,White,Black,Date of Game,Winner,Time Control,Opening,Black ELO,White ELO,Termination,Variant,Game Movelist
425255ce43f2f20543dd296041f79498a2343451,manoghn,Kingmoze,2021.09.22,Black,600+0,Alekhine Defense,866,933,Time forfeit,Standard,"e4,Nf6,f3,d5,Qe2,Nc6,Qd3,e6,e5,Nb4,Qc3,d4,Qb3,Nfd5,Bb5+,Bd7,Bc4,Nf4,Qxb4,Bxb4,c3,Bc5,d3,Nxd3+,Kd1,Nxc1,Kxc1,Qg5+,f4,Qxg2,Ne2,Qxh1+,Ng1,Qxg1+,Kc2,Qxh2+,Kc1,Qxf4+,Kc2,Qf2+,Kd1,Ba4+,b3,Qf3+,Kc2,dxc3,bxa4,Rd8,Nxc3,Qf5+,Bd3,Qxe5,Re1,Qh2+,Re2,Qf4,Rd2,Ke7,a5,Rd6,a6,bxa6,a4,Rhd8,a5,Rxd3,Rxd3,Rxd3,Kxd3,Qd4+,Kc2,f5,Kb3,f4,Ne2,Qd3+,Nc3,f3,Kb2,f2,Nd1,Qxd1"
fe4920f281a8a01d93d4b809d62f57e7d4cf3862,Soar_caleb,manoghn,2021.09.22,White,600+0,Caro-Kann Defense,943,1029,Normal,Standard,"d4,d5,Nc3,c6,e4,e6,e5,b5,b4,a5,Nxb5,cxb5,Bxb5+,Bd7,Bxd7+,Qxd7,bxa5,Rxa5,Bd2,Ra3,Nf3,Qa4,O-O,Bb4,Bxb4,Qxb4,Rb1,Qc3,Rxb8+,Ke7,Rb7+,Ke8,Ng5,Qc8,Nxf7,Qxb7,Nxh8,Qf7,Nxf7,Nf6,Nd6+,Ke7,Nc8+,Kd8,Qc1,Rd3,exf6,gxf6,Rd1,Rxd4,Rxd4,e5,Rxd5+,Kxc8,c4,Kc7,c5,Kc6,Rd8,Kc7,Qd1,Kc6,Qd6+,Kb5,Rb8+,Kc4,c6,Kc3,c7,Kc2,c8=Q#"
2f1c906c1df2508e1715f17c280efe9d9c294a2c,manoghn,Vlad1407,2021.09.22,Black,600+0,Alekhine Defense,937,970,Normal,Standard,"e4,Nf6,f3,Nc6,g4,b6,h4,a5,g5,b5,gxf6,gxf6,h5,b4,d3,a4,a3,bxa3,bxa3,e6,h6,d5,Rh5,dxe4,fxe4,f5,exf5,exf5,Rg5,Bxh6,d4,Bxg5,Bxg5,Qxg5,Qe2+,Kd8,Nc3,Qxg1"
7c6959f3f38298632e6a0675a518b32f68ded993,MPS737,manoghn,2021.09.22,White,600+0,King's Pawn Game: Wayward Queen Attack,970,1044,Time forfeit,Standard,"e4,e5,Qh5,g6,Qxe5+,Ne7,Qxh8"
fc8acf3b9cdc39d89bafe3428f050f46f32bc811,manoghn,Sumrak23,2021.09.22,Black,600+0,Alekhine Defense,1000,983,Normal,Standard,"e4,Nf6,f3,d5,d3,e5,f4,exf4,d4,dxe4,Bxf4,h6,Bb5+,Ke7,Qd2,g5,Qb4+,Ke6,Qc4+,Kf5,Be3,Kg6,Ba4,Be6"
183bfef9f7b90bf36207989984428e3b1535d7eb,Arassaykal,manoghn,2021.09.22,White,600+0,"Ruy Lopez: Exchange Variation, Lutikov Variation",1002,943,Normal,Standard,"e4,e5,Nf3,Nc6,Bb5,a6,Bxc6,bxc6,Nxe5,d6,Nxc6,Qd7,Nd4,Qf5,Nxf5"
4166698daa7d101b4eeb3fed711e2fee64d760a0,manoghn,Sairam_Vadivelen,2021.09.22,Black,600+0,King's Pawn Game,1060,1017,Time forfeit,Standard,"e4,e5"
241f2be036c8932f60e996556e820cc8e97f918f,manoghn,Sailajag996,2021.09.22,Black,600+0,Mikenas Defense,1000,1037,Normal,Standard,"d4,Nc6,e3,e5,f4,exd4,exd4,Qe7+,Be2,d5,f5,Nf6,h4,Bxf5,Bg5,Qb4+,Nd2,Bd6,c3,Qxb2,Rb1,Qxa2,Rxb7,Bc2,Qc1,Ba3,Rb2,Qxb2,Qxb2,Bxb2,Nc4,Ba3,Nxa3,Ne4,Nxc2,Nxc3,Ne3,O-O,Nxd5,Nxd5,Bc4,Ndb4,h5,Rfe8+,Ne2,Nc2+,Kd2,N2xd4,Rf1,Nxe2,Bxf7+,Kh8,h6,Re7,hxg7+,Kxg7,Bh6+,Kxh6,Bd5,Rd8,Rh1+,Kg5,Kc2,Ned4+,Kc3,Rxd5,g4,Rc5+,Kd3,Rce5,Rh5+,Kxg4,Rxe5,Rxe5,Kc4,a5,Kc3,a4,Kb2,Rb5+,Ka3,Ra5,Ka2,a3,Ka1,a2,Kb2,a1=Q#"
06b989747de052ca3482f2b949bbdd4aac782609,Aubade2000,manoghn,2021.09.22,White,600+0,Queen's Pawn Game: Mason Variation,1054,1071,Normal,Standard,"d4,d5,Bf4,Nf6,e3,Ne4,Nf3,e6,Na3,Be7,Nb5,Bh4,Nxh4,Nxf2,Kxf2,Qxh4+,g3,Qh6,Nxc7+,Kd7,Bxh6,gxh6,Nxa8,Rg8,Bb5+,Nc6,Bxc6+,bxc6,b4,Bb7,Rb1,Bxa8,b5,Rb8,a4,cxb5,axb5,a5,Qe2,f5,c4,dxc4,Qxc4,f4,Qa4,fxg3+,hxg3,Rf8+,Ke2,Bf3+,Kd3,h5,Rxh5,Bxh5,b6+,Kd8,Qxa5,Bg6+,e4,Rf3+,Kd2,Rxg3,Qa8+,Ke7,b7,Bxe4,Qa7,Rd3+,Kc1,Bf3,b8=Q+,Kf6,Qf4+,Kg6,Qxf3,Rc3+,Qxc3,e5,dxe5,h5,Qa8,h4,Qf8,h3,Qg3+,Kh5,Qh8#"
274e18cddf24e81f1ed6813d20126a63a996f7df,manoghn,kevin6969,2021.09.22,Black,600+0,Scotch Game: Göring Gambit,950,1081,Normal,Standard,"e4,e5,Nf3,Nc6,d4,exd4,c3,dxc3,bxc3,Nf6,Ng5,h6,e5,Nxe5,Nf3,d6,g4,Nfxg4,Nh4,Nf6,Qb3,Be6,c4,Be7,Qxb7,Qb8,Qc6+,Nxc6,c5,dxc5,Bg5,Qb4+,Nd2,hxg5,Nf3,g4,Ng5,Qb2,Bd3,Qxa1+,Nb1,Qe5+,Be4,Nxe4,Nxe4,Qxe4+,Kd2,Bg5+,f4,Qxh1,Nc3,Bxf4+,Kd3,Rd8+,Kc2,Rd2#"
